Video ID,Date Posted,Face Count,View Count
I7na3x3mGZ8,2018-01-02,0,58755687
JiAAkR53Vcw,2018-01-02,0,2615873
c34G_SRYo2c,2018-01-02,0,1255136
q0MsfNFrYlQ,2018-01-02,0,18420887
rGOU6ii0mPg,2018-01-02,0,1424335
whYYZx8DONQ,2018-01-02,0,1382229
-N3cQGR3nug,2018-01-02,0,15823704
HTAqic8qziU,2016-11-05,0,4870824
P1IiHBAVxqk,2016-11-05,0,3034370
I47TUcJj9po,2016-11-05,0,15709511
5i7_T3HDZNA,2016-11-05,0,10701000
roQQE1hkajU,2016-11-05,0,32298876
g82xk7YjJLk,2016-11-05,0,3055442
WaVnO21u6X8,2016-11-05,0,8911044
3sKIb3EnWC0,2016-11-05,0,3259880
1WmAk7mhynw,2016-11-05,0,4572155
Pkbnyj-QDhA,2016-11-05,0,10442540
7amQGph5SgI,2016-11-05,0,7151420
3-sK7_SSt5g,2016-11-05,0,17152465
O1711XVXfgo,2016-11-05,0,1472256
LwxZWpI9xTg,2016-11-05,0,5068779
